Loading mnist dataset
Initializing Neural Network with 6 hidden layers and hidden sizes [128, 32, 64, 64, 32, 64]
Loaded previous global best accuracy: 0.9796
Starting training
Epoch 1/15 - Train Loss: 0.9026, Train Acc: 0.1045 - Val Loss: 0.9024, Val Acc: 0.1135
Epoch 2/15 - Train Loss: 0.9010, Train Acc: 0.1034 - Val Loss: 0.9012, Val Acc: 0.1135
Epoch 3/15 - Train Loss: 0.9009, Train Acc: 0.1025 - Val Loss: 0.9008, Val Acc: 0.0980
Epoch 4/15 - Train Loss: 0.9003, Train Acc: 0.1047 - Val Loss: 0.9003, Val Acc: 0.0958
Epoch 5/15 - Train Loss: 0.9009, Train Acc: 0.1065 - Val Loss: 0.9008, Val Acc: 0.1135
Epoch 6/15 - Train Loss: 0.9009, Train Acc: 0.1056 - Val Loss: 0.9011, Val Acc: 0.0958
Epoch 7/15 - Train Loss: 0.9004, Train Acc: 0.1053 - Val Loss: 0.9006, Val Acc: 0.1028
Epoch 8/15 - Train Loss: 0.9001, Train Acc: 0.1049 - Val Loss: 0.9001, Val Acc: 0.0980
Epoch 9/15 - Train Loss: 0.9003, Train Acc: 0.1077 - Val Loss: 0.9002, Val Acc: 0.1009
Epoch 10/15 - Train Loss: 0.9000, Train Acc: 0.1072 - Val Loss: 0.9000, Val Acc: 0.0974
Epoch 11/15 - Train Loss: 0.9004, Train Acc: 0.1077 - Val Loss: 0.9002, Val Acc: 0.1135
Epoch 12/15 - Train Loss: 0.8999, Train Acc: 0.1072 - Val Loss: 0.8999, Val Acc: 0.1135
Epoch 13/15 - Train Loss: 0.8999, Train Acc: 0.1080 - Val Loss: 0.8998, Val Acc: 0.1135
Epoch 14/15 - Train Loss: 0.9000, Train Acc: 0.1103 - Val Loss: 0.9000, Val Acc: 0.1135
Epoch 15/15 - Train Loss: 0.9000, Train Acc: 0.1093 - Val Loss: 0.9000, Val Acc: 0.1028
